author,gender
"Soulié de Morant, G. (Georges), 1878-1955 [Translator]",M
"Stephenson, S. E. A. H. [Translator]",X
"Benson, Robert Hugh, 1871-1914",M
"Young, Stanley [Translator]",M
"Macy, William Hussey, 1826-1891",M
"Lowndes, Robert W., 1916-1998",M
"McCarthy, Justin H. (Justin Huntly), 1860-1936",M
"Nilsen, Anthon Bernhard Elias, 1855-1936",M
"Williamson, Jack, 1908-2006",M
"Overbeck, Bertha [Translator]",F
"Parker, Frances",F
"Lowndes, Marie Belloc, 1868-1947",F
"Annas, Hal",M
"Francis, Samuel W. (Samuel Ward), 1835-1886",M
"Bradbury, Ray, 1920-2012",M
"Oulton, L.",X
"Thomes, William Henry, 1824-1895",M
"Abel, Franklin",X
"Keenan, Henry F. (Henry Francis), 1850-1928",M
"Corbett, George, Mrs., 1846-1930",F
"Dixon, Charles, 1858-1926",M
"Conover, William",M
"Francis, V. R.",M
"Barney, J. Stewart (John Stewart), 1867-1925",M
"Hamilton, Clayton Meeker, 1881-1946",M
"Durkin, Douglas, 1884-1967",M
"Davis, Rebecca Harding, 1831-1910",F
"Sinclair, May, 1863-1946",F
"Craddock, Irving",X
"Ward, Humphry, Mrs., 1851-1920",F
"Gue, Belle Willey, 1860-",F
"Enferd, Knut",M
"Lowrey, D. M., Mrs. [Translator]",F
"Ellis, Mike",M
"Forbes, George, 1849-1936",M
"Moore, George, 1852-1933 [Contributor]",M
"Beach, Rex, 1877-1949",M
"Pedler, Margaret, -1948",F
"Von Wald, E. G.",X
"Pettit, Henry, 1842-1921",M
"Moberly, L. G. (Lucy Gertrude), 1860-",F
"Clutter, Mark",M
"Starkweather, C. C. [Translator]",M
"Bartley, Nalbro, 1888-1952",F
"Beard, James Franklin, 1919-1989 [Author of introduction, etc.]",M
"Gordon Smythies, Mrs., 1813?-1883",F
"Wilson, Harriet E., 1825-1900",F
"Beck, Clyde, 1912-1986",X
"Martin, Mabel Wood, 1888-1956",F
"Phillips, Vic",X
"Remington, Frederic, 1861-1909",M
"Yoshida, Masao [Translator]",X
"Bloundelle-Burton, John, 1850-1917",M
"Brontë, Emily, 1818-1848",F
"Hocking, Silas K. (Silas Kitto), 1850-1935",M
"Smith, Elizabeth Oakes Prince, 1806-1893",F
"Couperus, Louis, 1863-1923",M
"Molnár, Ferenc, 1878-1952 [Contributor]",M
"Mercier, Lewis Page [Translator]",M
"Twitchell, H. [Translator]",F
"Nicolson, Marjorie Hope, 1894-1981 [Author of introduction, etc.]",F
Bāṇa‏,M
"Gellibrand, Emma",X
"Lubbock, Percy, 1879-1965 [Editor]",M
"Matthewman, J. [Translator]",X
"Gilmour, A. A. O.",X
"Hill, Grace Livingston, 1865-1947",F
"Egbert, H. M., 1879-1960",M
"Forster, E. M. (Edward Morgan), 1879-1970",M
"Drayson, Alfred W. (Alfred Wilks), 1827-1901",M
"Wiggin, Kate Douglas Smith, 1856-1923",F
"Yaco, Murray F.",M
"Seltzer, Thomas, 1875?-1943 [Author of introduction, etc.]",M
"Robinson, Frank M., 1926-2014",M
"Trevena, John, 1870-",M
"Richardson, Henry Handel, 1870-1946",F
"Knight, Miriam S. [Translator]",F
"Rymer, James Malcolm, 1814?-1884",M
"Snaith, J. C. (John Collis), 1876-1936",M
"Gratacap, L. P. (Louis Pope), 1851-1917",M
"Wiking, Paula [Translator]",X
"Brownell, Gertrude Hall, 1863-1961",F
"Martin, W. Bradford",M
"Kirkland, Joseph, 1830-1894 [Editor]",M
"Silverberg, Robert, 1935-",M
"Golding, Louis, 1895-1958",M
"Rowlands, Effie Adelaide, 1866-1936",F
"Anderson, Rasmus Björn, 1846-1936 [Translator]",M
"James, G. P. R. (George Payne Rainsford), 1801?-1860 [Adapter]",M
"Henig, Stanley",M
"Kouns, Nathan C. (Nathan Chapman), 1833-1890",M
"McGowan, Richard, 1958-",X
"Spearman, Frank H. (Frank Hamilton), 1859-1937",M
"Cox, James A.",M
"May, J. Lewis (James Lewis), 1873-1961 [Editor]",M
"Harmelin, Mireille [Translator]",X
"Haley, Bart, 1876-",X
"Black, Edith Ferguson, 1857-1936",F
"Godwin, William, 1756-1836",M
"Derreaux, Gaston",X
"Marks, Percy, 1891-1956",M
"Browne, Howard, 1907-1999",M
"Valentine, L. (Laura), -1899 [Editor]",F
"Westcott, Frank N. (Frank Nash), 1858-1915",M
"Chase, Eliza E. [Translator]",F
"Westcott, Edward Noyes, 1847-1898",M
"Slosson, Annie Trumbull, 1838-1926",F
"Macleod, Norman, 1812-1872",M
"Bennett, Emerson, 1822-1905",M
"Longfellow, Marian, 1849-1924 [Translator]",F
"Tooker, L. Frank (Lewis Frank), 1855-1925",M
"Brogan, James C. [Translator]",X
"Braddon, M. E. (Mary Elizabeth), 1835-1915",F
"Goss, Charles Frederic, 1852-1930",M
"Macy, John Albert, 1877-1932 [Author of introduction, etc.]",M
"Forest, Frederick",X
"Rhys, Ernest, 1859-1946 [Editor]",X
"Hutten zum Stolzenberg, Betsey Riddle, Freifrau von, 1874-1957",X
"Edwards, Harry Stillwell, 1855-1938",X
"Smith, Arthur D. Howden (Arthur Douglas Howden), 1887-1945",X
"Thompson, Arthur R. (Arthur Ripley), 1872-",X
"Jackson, James",X
"Wilson, William Thomas",X
"Sampson, George, 1873-1950",X
"Cox, George D. [Translator]",X
"Fang, Irving E., 1929-2016",X
"Joyce, James, 1882-1941",X
"Graham, Margaret Collier, 1850-1910",X
"Thompson, Will H.",X
"Hallowell, Eleanor A. [Contributor]",X
"Burton, Russell",X
"Harvey, Marion",X
"Bird, Robert Montgomery, 1806-1854",X
"Bell, R. S. Warren (Robert Stanley Warren), 1871-1921",X
"Mirrlees, Hope, 1887-1978",X
"James, George Wharton, 1858-1923",X
"Shambaugh, Benjamin Franklin, 1871-1940 [Editor]",X
"Leiber, Fritz, 1910-1992",X
"Woodley, J. B.",X
"Kenyon, Camilla, 1876-1957",X
"Hodgson, William Hope, 1877-1918",X
"Watanna, Onoto, 1875-1954",X
"Knowles, Mabel Winifred, 1875-1949",X
"Outram, Mary Frances",X
"Randall, F. J. (Frederick John), 1872-",X
"Savi, E. W. (Ethel Winifred), 1865-1954",X
"McIlwraith, Jean N. (Jean Newton), 1859-1938",X
"O'Hagan, Anne, 1869-1934 [Contributor]",X
"Merriman, Henry Seton, 1862-1903",X
"Hearn, Lafcadio, 1850-1904 [Translator]",X
"Magnus, Leonard A. (Leonard Arthur), 1879-1924 [Translator]",X
"Runciman, James, 1852-1891",X
"Schayer, Julia Thompson von Stosch, 1840-1928",X
"White, William Allen, 1868-1944 [Contributor]",X
"Marbourg, Dolores, 1870-1934",X
